observation_id,analysis_partition,lineage_id,taxon,analysis_group,group_confidence,trait_id,trait_family,pollinator_regime,value,value_unit,evidence_tier,source_locator,review_status,weight,notes
campanula-outcrossing-honshu,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,large_bombus,0.7635,proportion,source_locked,data/inoue_literature_island_traits.csv:Honshu,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-honshu,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,large_bombus,49.91,mm,source_locked,data/inoue_literature_island_traits.csv:Honshu,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-honshu,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,large_bombus,0.055,proportion,source_locked,data/inoue_literature_island_traits.csv:Honshu,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,ardens,0.691,proportion,source_locked,data/inoue_literature_island_traits.csv:Oshima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,ardens,39.31,mm,source_locked,data/inoue_literature_island_traits.csv:Oshima,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,ardens,0.113,proportion,source_locked,data/inoue_literature_island_traits.csv:Oshima,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.535,proportion,source_locked,data/inoue_literature_island_traits.csv:Toshima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,no_bombus,35.27,mm,source_locked,data/inoue_literature_island_traits.csv:Toshima,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,no_bombus,1,proportion,source_locked,data/inoue_literature_island_traits.csv:Toshima,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-niijima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.512,proportion,source_locked,data/inoue_literature_island_traits.csv:Niijima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-niijima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,no_bombus,28.62,mm,source_locked,data/inoue_literature_island_traits.csv:Niijima,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-niijima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,no_bombus,1,proportion,source_locked,data/inoue_literature_island_traits.csv:Niijima,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-kozusima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.366,proportion,source_locked,data/inoue_literature_island_traits.csv:Kozushima,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-autonomous-capacity-kozusima,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,no_bombus,0.978,proportion,source_locked,data/inoue_literature_island_traits.csv:Kozushima,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-miyake,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.157,proportion,source_locked,data/inoue_literature_island_traits.csv:Miyake,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-autonomous-capacity-miyake,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,no_bombus,0.906,proportion,source_locked,data/inoue_literature_island_traits.csv:Miyake,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-outcrossing-hachijo,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,multilocus_outcrossing_rate,outcrossing,no_bombus,0.21,proportion,source_locked,data/inoue_literature_island_traits.csv:Hachijo,source_verified,1,"Midpoint of locked min/max transcription; a direct outcrossing estimate, not self-compatibility."
campanula-flower-hachijo,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,flower_length_mm,floral_size,no_bombus,23.14,mm,source_locked,data/inoue_literature_island_traits.csv:Hachijo,source_verified,1,"Locked literature transcription; measurement context remains in source table."
campanula-autonomous-capacity-hachijo,calibration,campanula_microdonta,Campanula microdonta,specialist,source_locked_focal,bagged_capsule_set,autonomous_assurance,no_bombus,0.97,proportion,source_locked,data/inoue_literature_island_traits.csv:Hachijo,source_verified,1,"Bagged capsule set is autonomous reproductive capacity; it is not a realized selfing-rate estimate."
campanula-guide-oshima,calibration,campanula_microdonta,Campanula microdonta,specialist,measured_scan_focal,guide_cov_pct_mean,visible_signal,ardens,28.39,percent,measured_scan_summary,zuizui0223/shimahotarubukuro@6343d152a743c240348c736baf5c65768c9b7020:results/per_island_summary.csv:Oshima,source_verified,1,"Island mean from 88 flattened corollas; 300-DPI scan pipeline; guide coverage is a pigment-area measure."
campanula-guide-toshima,calibration,campanula_microdonta,Campanula microdonta,specialist,measured_scan_focal,guide_cov_pct_mean,visible_signal,no_bombus,5.27,percent,measured_scan_summary,zuizui0223/shimahotarubukuro@6343d152a743c240348c736baf5c65768c9b7020:results/per_island_summary.csv:Toshima,source_verified,1,"Island mean from 63 flattened corollas; each island contributes one evolutionary comparison value."
campanula-guide-niijima,calibration,campanula_microdonta,Campanula microdonta,specialist,measured_scan_focal,guide_cov_pct_mean,visible_signal,no_bombus,12.15,percent,measured_scan_summary,zuizui0223/shimahotarubukuro@6343d152a743c240348c736baf5c65768c9b7020:results/per_island_summary.csv:Niijima,source_verified,1,"Island mean from 35 flattened corollas; degraded fraction 0.26 may make pigment coverage conservative."
campanula-guide-shikinejima,calibration,campanula_microdonta,Campanula microdonta,specialist,measured_scan_focal,guide_cov_pct_mean,visible_signal,no_bombus,2.00,percent,measured_scan_summary,zuizui0223/shimahotarubukuro@6343d152a743c240348c736baf5c65768c9b7020:results/per_island_summary.csv:Shikinejima,source_verified,1,"Island mean from five flattened corollas; retained with explicit small-n sensitivity caveat."
campanula-guide-kozushima,calibration,campanula_microdonta,Campanula microdonta,specialist,measured_scan_focal,guide_cov_pct_mean,visible_signal,no_bombus,4.31,percent,measured_scan_summary,zuizui0223/shimahotarubukuro@6343d152a743c240348c736baf5c65768c9b7020:results/per_island_summary.csv:Kozushima,source_verified,1,"Island mean from 18 flattened corollas; no mainland scan reference is available."
